restaurantName,review,userName
B Samcook Home 16,"Owner and staff treated us like royalty! The restuarant has huge portions and the hotel is beautiful! If you ever come to chiang mai, B Family Home 16 is a must!",Lombok
B Samcook Home 16,"Called n for breakfast today with my wife, fantastic setting and surounds, slightly upmarket menu but still value for money n great selection. Staff were very polite and friendly, looking forward to trying 1 of the dinner meals or a relaxing drink another time, but...",Cali C
B Samcook Home 16,"A friend and I were walking around Chiang Mai and spotted this lovely place. We fell in love with the staff, the food, and the ambiance. We've been to B Family Home 16 several times now—for coffee, for dinner, and to celebrate birthdays! Each time...",Gili air
B Samcook Home 16,"This restaurant is amazing! Great decor, friendly international staff, and food that is out of this world! The menu? Forget about it! What amazing choices! I let the chef choose for me, and I ended up having the lamb in the special green sauce. I...",BrickiePaul
Pakorn's Kitchen,"Dear Thanachris
Thank you that you enjoyed our food during your stay in Chiangmai. We very appreciate your visit in our small food shop. We look forward to your next visit in the near future. 
Best Wishes,
Pakorn
Chef & Owner",Chaowat A
Pakorn's Kitchen,"I found this place by chance, it's the best place to try some genuine Thai food in Chiangmai. I tried Pad-Thai and Tom-Yam-Goong noodle here. The food was awesome, cozy atmosphere and friendly chef. Don't miss if you stay nearby.",elecresh
Pakorn's Kitchen,"Dear Chaowat
Thank you that you enjoyed our food during your stay in Chiangmai. We very appreciate your visit in our small food shop. We look forward to your next visit in the near future. 
Best Wishes,
Pakorn
Chef & Owner","Florence, Italy"
Pakorn's Kitchen,"A very little restaurant, not so easy to notice.
Broad selection of thai specialties for very reasonable price.
It doesn't close at 8 pm, guess they stay open until 10 pm if they have clients..
The average price for a dish is 60 bath (around...",Escape683590
Pakorn's Kitchen,"Dear Elecresh
Thank you that you enjoyed our food during your stay in Chiangmai. We very appreciate your visit in our small food shop. We look forward to your next visit in the near future. 
Best Wishes,
Pakorn
Chef & Owner",Trenche
Pakorn's Kitchen,It's very good restaurant food is very tasty I loving it !!! Pearls are very nice too if I comeback to Chiangmai I will go to eat it again and again,"Perth, Australia"
Pakorn's Kitchen,"Dear ฉ้ัตรชัย
Thank you that you enjoyed our food during your stay in Chiangmai. We very appreciate your visit in our small food shop. We look forward to your next visit in the near future. 
Best Wishes,
Pakorn
Chef & Owner",Marlene H
Pakorn's Kitchen,"A little kitchen that if you don't know you could drive right past but..., there is a very good reason why it is so often busy. Once people come here once, they will keep coming back,  like me. Food is excellent and good, fair price....",Alturnn00001
Pakorn's Kitchen,"Dear Trenche
Thank you that you enjoyed our food during your stay in Chiangmai. We very appreciate your visit in our small food shop. We look forward to your next visit in the near future. 
Best Wishes,
Pakorn
Chef & Owner",BrianC6491
My Place Lounge,The Pannini's here are fantastic and with free WIFI a nice place to chill out for an afternoon drink. The staff and owner are extremely friendly and happy to chat and answer any questions you have. We spent Halloween here and thoroughly enjoyed ourselves. Would...,"South East England, United Kingdom"
My Place Lounge,"Great place to visit with lots of people from all over the world.  Super knowledgeable bartenders, great paninis (the jerked pork is particularly delicious) and the best pool table in town.  Head upstairs to check out the Thai-style lounge to lie back and relax.

I'll...",TheBrez
My Place Lounge,on my holliday to cm i was invited by friends to join them for a drink.We ended up at my place on loi kroh road on chiang mai.what a nice place to go good food great service and very friendly staff.For my next visit to...,London
My Place Lounge,"My place lounge, is “your place to lounge”, in the sense you feel totally at home.  The atmosphere has this great cosy feeling of cosmopolitan, boutiqueness with an essence of great non-egotistical, sense of style.
During your day you can watch it melt away and...",AroiDee
My Place Lounge,"This is a great friendly bar with the best panini's in Asia.  The owner Russ is very friendly, and loves to chat.  The shots are real, and staff very friendly.","Chiang Mai, Thailand"
My Place Lounge,One of the coolest atmospheres and best paninis in Thailand. Russ is a great guy and a treasure trove of information.,bart d
Khao Soi Khun Yai,"Such a great place to eat your Khao Soi! In the old town, just a small local place which is managed by 2 charming ladies. No tourist come here, so expect plastic chairs and small tables but just THE best Khao Soi I ever had!!...",Canada
Khao Soi Khun Yai,"This is not so easy to find but is worth the hunt. Rated ""best bowl"" by some pundits, I wanted to find it myself.

The stall is just off the main road in what looks like the courtyard of a Wat. It is actually a...",Mireille D
Khao Soi Khun Yai,"Khao Soi, a rich curry noodles served with pickels, is an iconic dish of Chiang Mai and some websites have suggested that Khao Soi Khun Yai (Grandmother's Khao Soi) is the best place to taste it.
The place is a typical street cafe. It is...","Bangkok, Thailand"
Pakorn's Kitchen,"Dear Thanachris
Thank you that you enjoyed our food during your stay in Chiangmai. We very appreciate your visit in our small food shop. We look forward to your next visit in the near future. 
Best Wishes,
Pakorn
Chef & Owner",Chaowat A
Pakorn's Kitchen,"I found this place by chance, it's the best place to try some genuine Thai food in Chiangmai. I tried Pad-Thai and Tom-Yam-Goong noodle here. The food was awesome, cozy atmosphere and friendly chef. Don't miss if you stay nearby.",elecresh
Pakorn's Kitchen,"Dear Chaowat
Thank you that you enjoyed our food during your stay in Chiangmai. We very appreciate your visit in our small food shop. We look forward to your next visit in the near future. 
Best Wishes,
Pakorn
Chef & Owner","Florence, Italy"
Pakorn's Kitchen,"A very little restaurant, not so easy to notice.
Broad selection of thai specialties for very reasonable price.
It doesn't close at 8 pm, guess they stay open until 10 pm if they have clients..
The average price for a dish is 60 bath (around...",Escape683590
Pakorn's Kitchen,"Dear Elecresh
Thank you that you enjoyed our food during your stay in Chiangmai. We very appreciate your visit in our small food shop. We look forward to your next visit in the near future. 
Best Wishes,
Pakorn
Chef & Owner",Trenche
Pakorn's Kitchen,It's very good restaurant food is very tasty I loving it !!! Pearls are very nice too if I comeback to Chiangmai I will go to eat it again and again,"Perth, Australia"
Pakorn's Kitchen,"Dear ฉ้ัตรชัย
Thank you that you enjoyed our food during your stay in Chiangmai. We very appreciate your visit in our small food shop. We look forward to your next visit in the near future. 
Best Wishes,
Pakorn
Chef & Owner",Marlene H
Pakorn's Kitchen,"A little kitchen that if you don't know you could drive right past but..., there is a very good reason why it is so often busy. Once people come here once, they will keep coming back,  like me. Food is excellent and good, fair price....",Alturnn00001
Pakorn's Kitchen,"Dear Trenche
Thank you that you enjoyed our food during your stay in Chiangmai. We very appreciate your visit in our small food shop. We look forward to your next visit in the near future. 
Best Wishes,
Pakorn
Chef & Owner",BrianC6491
Khao Soi Khun Yai,"I still dream about this place. I may even go so far as to say this is the best noodle dish i have ever eaten.
I was in Chiang Mai for 2 nights, and on my second day i ventured out to this hole-in-the-wall restaurant...",KittyG-Auckland
Khao Soi Khun Yai,Walking around in the rain for an hour yesterday without finding this place made it all the more delicious today. Went at 11 am and considering going back before they close at two. Will be eating here every day for the next week. Don't trust...,-
Khao Soi Khun Yai,"Massive fan of khao soi, the primary reason we keep returning to chiang mai! Visited on the strength of the reviews and we were not let down. Highly recommended and use the instructions helpfully provided by previous reviewer. Our driver had no trouble getting us...",Olivia S
Khao Soi Khun Yai,"This was so difficult to find at first, but it's just along Sriproom road and in between two temples. I was expecting so much more. The khao soi was good and cheap. Only 30 baht. But I've had better khao soi in another restaurant. The...","Los Angeles, California"
Khao Soi Khun Yai,"Firstly, do not make the mistake of relying on the map in tripadvisor to find this place. Instead see asupsiri's excellent directions in the review a few before this one. The khao soi beef I had was very good and just 35 baht. Perhaps my...",Samuel H
Khao Soi Khun Yai,"No wonder this place only gets 5 star reviews, this was one of the best dishes I've had in Thailand. A little bit of a wait, but what do you expect when the food is so damn good!",dennisegarcia
Khao Soi Khun Yai,We were reading about this restraurant and did eventually find it what a find we have been in Luang Prabang for three days and this is the best   The food is terrific and although a limited menu the food is superb the drinks were very...,"Taguig City, Philippines"
Khao Soi Khun Yai,"We've tried Khao Soi a few times since we've been in Chiang Mai, but not until we came here did we understand how it was really supposed to taste.  We went for lunch and found it to be busy but with a fairly fast turnover...",SDwarf
Khao Soi Khun Yai,"Khao Soi Kun Yai is the real deal and is totally worth seeking out. I can't speak for how it compares to other Khao Sois, but my wife and I agree that it was one of the most flavorful and memorable dishes we experienced in...","Bangkok, Thailand"
Xanadu Pub & Restaurant,What an amazing restuarant. The view  is stunning. When I rang and booked this restuarant  they were very friendly. When we got there we found that for a Wednesday night we were the only diners and they stayed open for us. We had our own...,Africa
Xanadu Pub & Restaurant,"with a wiew of doi suthep and fine wine and excellent food and service ,all this for a reasonable price .wide selection of world class steaks .",09051206
Xanadu Pub & Restaurant,"Had a nice dinner at this restaurant. The food was authentic northern Thai and the service was good. It has a nice view of the town. It had a band and singer the night we were there doing mostly 60's, which was really good.","Brisbane, Australia"
Xanadu Pub & Restaurant,Service was deplorable.  Waiting ages for drinks to be served. Meals came out at very different times. Very poor and disappointing overall. Will not return.,tony s
Xanadu Pub & Restaurant,"The view and general ambience here is wonderful. With a cool breeze it is heavenly. The live music was relaxing and staff were friendly and helpful. 

It's a great place for drinks and a night out with a touch of luxury.

However, the food was...","Khon Kaen, Thailand"
Xanadu Pub & Restaurant,If you find some place for a romantic dinner this place is prefer. On the top of Furama Chiang mai that not far from the city. The food just fine. The band play familiar old love song. If you stay in the winter you should...,e1949
